uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type
REVBOLT_00017725,REVOS,REVOS,ground floor khasra no 34/22 village samaypur delhi,28.74368827,77.12391984,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919999936644""]",charging,110042,north-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00010644,REVOS,REVOS,P-1/52a Budh Vihar Phase-1,28.71087358,77.08468046,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""9910409609""]",charging,110041,west-delhi,,1,3.3 kW,₹2 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017828,REVOS,REVOS,20pal auto munirka ,28.55406559,77.17817791,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+917042342392""]",charging,110067,south-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00021675,REVOS,REVOS,20kartar market munirka ,28.55421991,77.17812493,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+917042342392""]",charging,110067,south-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00021494,REVOS,REVOS,B1687 Shastri Nagar ,28.67880484,77.1806214,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+917011275882""]",charging,110007,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00021420,REVOS,REVOS,B-1687 Shastri Nagar ,28.67880749,77.18077697,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+917011275882""]",charging,110052,north-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00021472,REVOS,REVOS,plot no 550 Gali ni d18 chatter pur,28.50785356,77.18511946,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919312265336""]",charging,110047,south-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00021471,REVOS,REVOS,plot no 550 Gali no d18 chattarpur,28.50772982,77.18475837,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919312265339""]",charging,110030,south-west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016264,REVOS,REVOS,17 /10 Shakti Nagar Delhi,28.6812521,77.19336022,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919213633568""]",charging,110007,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016269,REVOS,REVOS,17/10 Shakti Nagar Delhi,28.68124916,77.19366465,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919213633568""]",charging,110007,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00011070,REVOS,REVOS,M 25 Commander Chowk Vikas Nagar Uttam Nagar New Delhi,28.64089319,77.04854507,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919312729475""]",charging,110059,west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
